TYPE,NOM,EAN,quantite(g-cl-u)
i,beurre,3451790941610,250
i,chocolat noir,7613033113697,200
i,oeufs frais,3270190205685,12
i,farine,3068110702235,1000
i,sucre en poudre,3220035150007,1000
i,sucre roux,3220035210008,1000
i,levure,8722700030027,7
i,sucre vanille,3564700029879,10
i,pate brisee,3248830690627,1
i,huile assaisonnement,3265479186007,200
i,huile friture,3265479358008,200
i,huile d'olive,8002470010444,75
i,sel,3252378001319,500
i,poivre,3560070762101,42
i,mascarpone,3760056260502,500
i,poudre cacao,3564700748435,250
i,biscuits cuillere,3256220179805,36
i,eau,3068320040103,150
i,Maizena,8712100338694,400
i,sucre glace,3165432640006,500
i,champignons,3333160002025,230
i,jus citron,3225350000501,70
i,creme fraiche,3270190020998,200
i,miel,3560070279166,250
i,yaourt nature,3033490593841,12
i,saumon fume,3560070556991,2
i,aneth,3166290201866,10
i,lait,3270190204374,100
i,lait concentre,3560070799695,400
i,pate feuilletee,3270190022534,1
i,poudre d'amandes,3179140503232,125
i,viande hachee,3245413750785,500
i,puree de tomate,3560070323289,500
i,fromage rape,3270190207696,200
i,gousse vanille,3179142897902,4
i,jambon,3270190200802,4
i,olives,3256220112208,200
i,creme epaisse,3250390151562,20
i,concentré de tomate,3560070280612,150
i,thon en boite,3019080067015,140
i,pates torti,3038350013606,500
i,spaghetti,3038350025005,1000
i,puree de pomme de terre,7613034246882,520
i,nutella,3017624047813,750
i,compote de pommes,3045320027280,750
i,confiture de fraise,3560070369690,370
i,mozzarella,8000430133035,125
i,cornichons,4012200040263,850
i,filet de poulet,3266980123994,720
f,tomate,0.225,1
f,fraise,0.134939759,1
f,pomme,0.3342857143,1
f,carotte,0.93,1
i,levure boulangere,3179141393719,8
f,gousse d'ail,0.05,1
f,oignons,0.18,1
f,céléri,0.07,1
f,pomme de terre,0.4,1
